exp,ID,rec_time_raw_min,num_chans,fs,art1_time_min,art1_nepochs,art1_nsamples,art1_perc_time,bpfilter,bsfilter,detrend,demean,zapline,rej_chans,reject_ica_components,method_interpolate,art2_time_min,art2_nepochs,art2_nsamples,art2_perc_time,art1_2_perc_time,final_time_min,reref_channel,date_preproc,fs_ds,Nchan_rej,Notes
TalKennet,103001,4.3167,70,1000,0.020833,1,625,0.48263,[0.5 100],[],yes,yes,yes,"T9,T10,TP7,FT9,P9,T8,F4",[1 2 3],spline,0,0,0,0,0.48263,4.2958,all,09/07/2026,500,7,
TalKennet,103101,4.15,70,1000,0.13633,3,4090,3.2852,[0.5 100],[],yes,yes,yes,"FT10,P9,T9,TP10,P10,T10,Fpz,FT9",[2 6 7],spline,0.24033,5,7210,5.7912,9.0763,3.8358,all,09/07/2026,500,8,
TalKennet,103301,4.4,70,1000,0.1393,5,4179,3.1659,[0.5 100],[],yes,yes,yes,"Fp2,T10",[1 2 6],spline,0.2976,3,8928,6.7637,9.9296,4.0157,all,09/07/2026,500,2,zapline plus removed in beta range- 27.7 hz noise
TalKennet,103501,4.1833,70,1000,0.113,4,3390,2.7012,[0.5 100],[],yes,yes,yes,"P9,PO7,T10,O1,AF7,AF3,FT9,T9,TP9,P10,PO8,Iz",[1 3],spline,0.059267,2,1778,1.4167,4.1179,4.014,all,09/07/2026,500,12,
TalKennet,103801,4.15,70,1000,0.024633,1,739,0.59358,[0.5 100],[],yes,yes,yes,"Fp2,O2,F8,TP9,F4,AF8,TP8,FT9,AF8,Fz,F3,T9,T10,TP7",[1 2],spline,0,0,0,0,0.59358,4.1254,all,09/07/2026,500,14,ica for blink removal did not work very well
TalKennet,104001,4.0667,70,1000,0.53677,9,16103,13.1992,[0.5 100],[],yes,yes,yes,"TP8,FT10,T9,FC1,F1,P8,F2,F6,AF3,AFz,P5,TP10,T10,TP9,C1,CPz,P7,Pz,P5,FC2",[1 4],spline,0.4126,12,12378,10.1459,23.3452,3.133,all,12/07/2026,500,20,VERY NOISY DATA
TalKennet,104101,4.1333,70,1000,0,0,0,0,[0.5 100],[],yes,yes,yes,"AF7,F8,F7,FT9,T10,TP9,TP7,P9,PO8,P10,PO7,POz,O2,FT10",[1 9],spline,0.22647,11,6794,5.4791,5.4791,3.9069,all,12/07/2026,500,14,"ICA did not clean well eyeblinks from fp2,fpz - and there are occational recurring oscilatory noise along the recording"
TalKennet,104901,4.25,70,1000,0.025833,1,775,0.60785,[0.5 100],[],yes,yes,yes,"TP9,FT10,PO8,F2,C3,C5,T9,P9,T10,T8",[2 6],spline,0,0,0,0,0.60785,4.2242,all,12/07/2026,500,10,
TalKennet,106201,4.2,70,1000,0.0075,1,225,0.17857,[0.5 100],[],yes,yes,yes,"FT9,F7,F8,T9,T7,TP9,C3,TP7,CP1,P9,TP10,P7,P8,P10,PO7,PO3,O1,O2,PO8",[2 6],spline,0.0186,2,558,0.44286,0.62143,4.1739,all,12/07/2026,500,19,"weird recurring peaks in all channels, could not remove them"
TalKennet,106501,4.1666,70,1000,0.053233,2,1597,1.2776,[0.5 100],[],yes,yes,yes,"F8,P8,Iz,FT9,T9,FT10,T10,TP9,TP8,TP10,P9,P10",[1 3],spline,0.033067,1,992,0.7936,2.0712,4.0804,all,12/07/2026,500,12,peak at beta
OSF_simple,A19,18.3333,64,512,2.3719,30,72866,12.9379,[0.5 100],[],yes,yes,yes,,[1 5],,0.53294,16,16372,2.907,15.8448,15.4345,all,22/07/2026,512,0,
OSF_simple,A1,16.9333,64,512,0,0,0,0,[0.5 100],[],yes,yes,yes,C5,1,spline,0.18271,4,5613,1.079,1.079,16.7506,all,22/07/2026,512,1,
OSF_simple,A20,17.8,64,512,0.72845,9,22378,4.0924,[0.5 100],[],yes,yes,yes,,5,,0.013509,1,415,0.075894,4.1683,17.058,all,22/07/2026,512,0,"very noisy, weird recurring high freq noise in all channels during most of recording - zapline plus did not fix it"
OSF_simple,A21,17.6666,64,512,0.062044,3,1906,0.35119,[0.5 100],[],yes,yes,yes,,[1 2],,0.099316,5,3051,0.56217,0.91336,17.5053,all,22/07/2026,512,0,"Cz channel noisy, but not extreme so wasn't removed"
OSF_simple,A22,17.5,64,512,0.59531,8,18288,3.4018,[0.5 100],[],yes,yes,yes,,[1 6],,0.3084,11,9474,1.7623,5.1641,16.5963,all,22/07/2026,512,0," zapline plus removed in beta range-  17.375, 18.1328125, 18.546875,18.921875 hz noise"
OSF_simple,A23,17.8833,64,512,0.097103,3,2983,0.54298,[0.5 100],[],yes,yes,yes,,[1 10],,1.9786,64,60784,11.0642,11.6072,15.8076,all,22/07/2026,512,0,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal"
OSF_simple,A24,15.0166,64,512,0.015039,1,462,0.10015,[0.5 100],[],yes,yes,yes,T7,[1 7],spline,0.92262,38,28343,6.144,6.2442,14.079,all,22/07/2026,512,1,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal"
OSF_simple,A25,14.6833,64,512,0.62822,13,19299,4.2785,[0.5 100],[],yes,yes,yes,,[1 8],,0.23408,12,7191,1.5942,5.8727,13.8222,all,22/07/2026,512,0,zapline plus removed in the beta range- 27.11 hz
OSF_simple,A2,18.95,64,512,0.44395,15,13638,2.3427,[0.5 100],[],yes,yes,yes,"C3,CP6",[5 8 10],spline,5.1257,125,157460,27.0483,29.3911,13.4135,all,23/07/2026,512,2,"very noisy, although much was removed in artifact removal, still recurring oscilatory noise in all channels a lot"
OSF_simple,A3,21.3333,64,512,8.8107,43,270664,41.3001,[0.5 100],[],yes,yes,yes,"F3,C3,C5,T7,FC5,FC3,CP1,CP3,P9,PO7",2,spline,3.2363,61,99420,15.1703,56.4704,9.3524,all,23/07/2026,512,10,"very noisy, although much was removed in artifact removal, still sometimes high-freq (maybe muscle) noise"
OSF_simple,A4,17.7,64,512,0.069759,4,2143,0.39412,[0.5 100],[],yes,yes,yes,,[2 4 5],,0.19883,11,6108,1.1233,1.5174,17.4314,all,23/07/2026,512,0,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal"
OSF_simple,A5,20.0666,64,512,0.80983,9,24878,4.0357,[0.5 100],[],yes,yes,yes,,1,,0.27044,10,8308,1.3477,5.3834,18.9865,all,23/07/2026,512,0,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal"
OSF_simple,A6,22.1833,64,512,1.0549,29,32408,4.7556,[0.5 100],[],yes,yes,yes,,1,,4.2303,94,129955,19.0698,23.8254,16.9526,all,23/07/2026,512,0,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,A7,17.9166,64,512,0.31331,6,9625,1.7487,[0.5 100],[],yes,yes,yes,"Cz,TP8,FCz,T8,Fp1,F1,CP1",[1 10],spline,0.0064453,1,198,0.035974,1.7847,17.5969,all,23/07/2026,512,7,
OSF_simple,A8,18.8666,64,512,0.030469,2,936,0.1615,[0.5 100],[],yes,yes,yes,"F3,FT7,Oz",[4 14 17],spline,1.9823,63,60897,10.507,10.6685,16.8539,all,23/07/2026,512,3,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,A9,19.5166,64,512,0.43932,12,13496,2.251,[0.5 100],[],yes,yes,yes,,[3 14 20],,0.68506,31,21045,3.5101,5.7611,18.4201,all,23/07/2026,512,0,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,C10,17.85,64,512,2.9312,87,90048,16.4216,[0.5 100],[],yes,yes,yes,FC4,[1 17],spline,1.0407,34,31969,5.83,22.2516,13.9132,all,23/07/2026,512,1,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,C11,17.65,64,512,0.1513,12,4648,0.85724,[0.5 100],[],yes,yes,yes,,[1 10],,0.4752,20,14598,2.6923,3.5496,17.0416,all,26/07/2026,512,0,
OSF_simple,C12,19.1166,64,512,1.1559,27,35510,6.0467,[0.5 100],[],yes,yes,yes,,[1 6],,0.17399,6,5345,0.91015,6.9568,17.8067,all,26/07/2026,512,0,
OSF_simple,C13,18.25,64,512,0.73525,16,22587,4.0288,[0.5 100],[],yes,yes,yes,,[1 6],,0.45973,29,14123,2.5191,6.5479,17.0638,all,26/07/2026,512,0,
OSF_simple,C14,18.1333,64,512,1.8836,32,57863,10.3873,[0.5 100],[],yes,yes,yes,,[1 3],,0.48154,18,14793,2.6556,13.0429,15.783,all,26/07/2026,512,0,power spectrum - peak at 30hz (or in previous subect?)
OSF_simple,C15,18.3333,64,512,1.864,39,57262,10.1673,[0.5 100],[],yes,yes,yes,,[1 5],,1.399,25,42976,7.6307,17.798,15.695,all,26/07/2026,512,0,
OSF_simple,C16,18.7166,64,512,0.48551,7,14915,2.594,[0.5 100],[],yes,yes,yes,CP6,[1 8 11],spline,4.1501,134,127490,22.1731,24.7672,14.0811,all,26/07/2026,512,1,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,C17,17.7833,64,512,0.28037,8,8613,1.5766,[0.5 100],[],yes,yes,yes,,[5 9],,0.94795,41,29121,5.3306,6.9072,16.5711,all,27/07/2026,512,0,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,C18,17.9,64,512,0.68066,18,20910,3.8026,[0.5 100],[],yes,yes,yes,,[2 8],,0.31458,18,9664,1.7575,5.5601,16.9048,all,27/07/2026,512,0,
OSF_simple,C19,17.9,64,512,0.57611,16,17698,3.2185,[0.5 100],[],yes,yes,yes,,[1 3],,0.55166,9,16947,3.0819,6.3004,16.7738,all,27/07/2026,512,0,"weird recurring peaks in all channels (at 1.66 hz), removed via ICA"
OSF_simple,C1,17.8,64,512,0.4123,10,12666,2.3163,[0.5 100],[],yes,yes,yes,"FC1,O2",2,spline,0.14108,8,4334,0.79259,3.1089,17.2466,all,27/07/2026,512,2,relatively noisy channels
OSF_simple,C20,19.6,64,512,4.8466,20,148889,24.7278,[0.5 100],[],yes,yes,yes,,[1 17],,2.5858,74,79437,13.1931,37.9209,12.1743,all,27/07/2026,512,0,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,C21,17.9333,64,512,0.80267,24,24658,4.4759,[0.5 100],[],yes,yes,yes,,[1 8],,0.42598,14,13086,2.3753,6.8512,16.711,all,27/07/2026,512,0,
OSF_simple,C22,18.1833,64,512,0.081706,4,2510,0.44934,[0.5 100],[],yes,yes,yes,,1,,0.69404,14,21321,3.8169,4.2663,17.4076,all,27/07/2026,512,0,
OSF_simple,C23,17.9666,64,512,0.77298,17,23746,4.3023,[0.5 100],[],yes,yes,yes,,1,,0.48835,20,15002,2.7181,7.0204,16.7053,all,27/07/2026,512,0,
OSF_simple,C24,18.1,64,512,2.3025,50,70734,12.7212,[0.5 100],[],yes,yes,yes,,[1 8],,2.1693,57,66642,11.9853,24.7065,13.6725,all,27/07/2026,512,0,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,C25,17.75,64,512,6.1703,131,189552,34.7624,[0.5 100],[],yes,yes,yes,,2,,1.4096,42,43303,7.9414,42.7038,10.3094,all,27/07/2026,512,0,"zapline removed in beta range, specifically, 17.62, 17.77 and 18.02 Hz. Also, recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,C26,14.85,64,512,0.17383,4,5340,1.1706,[0.5 100],[],yes,yes,yes,,1,,3.0291,69,93054,20.398,21.5686,11.7395,all,27/07/2026,512,0,"ICA didn't work extremely well, also recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,C27,14.4333,64,512,0.27979,11,8595,1.9385,[0.5 100],[],yes,yes,yes,P10,[1 10],spline,0.27253,11,8372,1.8882,3.8266,13.9107,all,27/07/2026,512,1,
OSF_simple,C28,16.2333,64,512,0.69137,10,21239,4.259,[0.5 100],[],yes,yes,yes,FC4,[1 6],spline,0.25254,10,7758,1.5557,5.8147,15.2894,all,27/07/2026,512,1,
OSF_simple,C2,22.7833,64,512,0.87015,12,26731,3.8192,[0.5 100],[],yes,yes,yes,P4,[1 7],spline,2.186,50,67154,9.5948,13.414,19.7433,all,28/07/2026,512,1,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,C3,21.9166,64,512,0.27689,6,8506,1.2634,[0.5 100],[],yes,yes,yes,,[1 8],,1.1398,40,35016,5.2008,6.4642,20.578,all,28/07/2026,512,0,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,C4,18.1333,64,512,1.058,11,32501,5.8344,[0.5 100],[],yes,yes,yes,,[2 7],,0.66019,11,20281,3.6408,9.4752,16.4301,all,28/07/2026,512,0,
OSF_simple,C5,18.65,64,512,5.3608,126,164683,28.7442,[0.5 100],[],yes,yes,yes,,[3 10],,0.68278,22,20975,3.661,32.4052,12.6369,all,28/07/2026,512,0,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,C6,18.0333,64,512,0.4738,8,14555,2.6273,[0.5 100],[],yes,yes,yes,,1,,1.6462,58,50570,9.1284,11.7558,15.9188,all,28/07/2026,512,0,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,C8,17.5,64,512,2.221,38,68230,12.6916,[0.5 100],[],yes,yes,yes,CP1,[1 4],spline,1.4552,26,44704,8.3155,21.0071,13.952,all,28/07/2026,512,1,"ZAPLINE did not detect 60hz line noise- a bit weird, but in some of the harmonics (e.g., 180hz) & recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,C9,17.4833,64,512,0.22178,2,6813,1.2685,[0.5 100],[],yes,yes,yes,,[1 5],,2.7761,94,85283,15.8788,17.1473,14.492,all,28/07/2026,512,0,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
OSF_simple,A14,18.3833,64,512,0.47187,5,14496,2.5669,[0.5 100],[],yes,yes,yes,P8,1,spline,3.8385,94,117920,20.8806,23.4475,14.078,all,03/08/2026,512,1,"recurring oscilatory noise in all channels occationally, was not removed completely via the artifact removal or zapline plus"
